count	q1	q2	q3	qd1	qd2	qd3	x	y	theta	qdd1	qdd2	qdd3	trq2	trq3	trq2_act	trq3_act	
83	-0.348785	1.61318	-1.8	1.08221	-5.37355	0.00200697	0.0224594	0.53775	1.03519	25.1542	-93.2832	0.24171	-9.27986	0.453847	-8.82126	0.396673	
84	-0.346187	1.60766	-1.8	1.11521	-5.44685	0.00200856	0.0223426	0.538295	1.03227	28.4544	-91.2626	0.241337	-9.18972	0.470059	-8.78348	0.340006	
85	-0.346187	1.60207	-1.8	1.14263	-5.52552	0.00200856	0.0236439	0.538783	1.02668	27.6003	-90.304	0.24139	-9.20977	0.475344	-9.02904	0.358895	
86	-0.344556	1.59639	-1.79999	1.14263	-5.61607	0.00251563	0.0240895	0.539312	1.02264	25.07	-90.6147	0.342804	-9.18053	0.493833	-9.01015	0.321116	
87	-0.343804	1.59061	-1.79999	1.16975	-5.71498	0.00290659	0.0250339	0.539823	1.01761	23.331	-91.3641	0.260458	-9.17514	0.504248	-9.23682	0.358895	
88	-0.343052	1.58473	-1.79998	1.19686	-5.811	0.00486668	0.0260028	0.540336	1.01249	24.2295	-90.8422	0.453538	-9.16873	0.514697	-9.02904	0.415562	
89	-0.344051	1.57875	-1.79998	1.21575	-5.9069	0.00706699	0.027943	0.540803	1.00552	24.4226	-89.3273	0.646565	-9.23708	0.518668	-8.93459	0.415562	
90	-0.34345	1.57268	-1.79997	1.24488	-5.99956	0.00817594	0.0290433	0.541312	1.00006	25.5227	-88.0421	0.73136	-9.23497	0.52816	-8.82126	0.453341	
91	-0.342571	1.56651	-1.79996	1.26471	-6.10004	0.0102884	0.0300187	0.541832	0.994781	24.8801	-88.3296	0.825317	-9.22806	0.541254	-8.68903	0.396673	
92	-0.341971	1.56023	-1.79994	1.30411	-6.20784	0.0129238	0.0311728	0.542345	0.989114	26.4493	-90.9116	1.09057	-9.22352	0.550396	-8.97237	0.358895	
93	-0.339341	1.55384	-1.79993	1.32461	-6.31799	0.0133707	0.0312543	0.542923	0.985365	24.2407	-94.4441	1.13638	-9.14894	0.572166	-8.5757	0.358895	
94	-0.341092	1.54733	-1.79992	1.3342	-6.42978	0.0142325	0.0337434	0.543362	0.977121	21.8996	-98.2926	1.2224	-9.2555	0.57644	-8.61348	0.453341	
95	-0.338462	1.54071	-1.7999	1.36292	-6.53933	0.0152509	0.0338814	0.543945	0.973147	22.0291	-101.38	1.32424	-9.17613	0.597188	-8.89681	0.396673	
96	-0.337448	1.534	-1.79988	1.39004	-6.63272	0.0163689	0.0349218	0.544474	0.967465	24.7405	-101.665	1.38533	-9.15873	0.609893	-8.67014	0.415562	
97	-0.339199	1.5272	-1.79987	1.41234	-6.71757	0.0190949	0.0374917	0.5449	0.958932	24.2593	-100.259	1.61884	-9.25143	0.610745	-9.14237	0.510008	
98	-0.338319	1.52032	-1.79985	1.44735	-6.80193	0.019904	0.0386526	0.545418	0.952944	25.0488	-99.0922	1.50373	-9.23278	0.621182	-8.36792	0.491119	
99	-0.333506	1.51333	-1.79983	1.45557	-6.89851	0.0200207	0.0376911	0.546085	0.950791	23.9825	-99.1613	1.29537	-9.07656	0.654203	-8.70792	0.604454	
100	-0.333506	1.50624	-1.79981	1.48857	-7.0114	0.020026	0.0393857	0.546569	0.943714	24.3687	-101.184	1.18501	-9.09988	0.663571	-8.67014	0.510008	
101	-0.336135	1.49903	-1.79979	1.50885	-7.12258	0.0186289	0.0425491	0.546938	0.933894	24.414	-102.254	0.834052	-9.23333	0.663833	-8.27347	0.510008	
102	-0.333951	1.4917	-1.79978	1.49657	-7.24106	0.0178789	0.0431117	0.547502	0.928769	19.2466	-103.322	0.49551	-9.19601	0.691355	-8.70792	0.604454	
103	-0.333951	1.48425	-1.79976	1.53071	-7.36101	0.0204319	0.0449011	0.547971	0.921342	20.6102	-104.302	0.706114	-9.21895	0.701747	-8.59459	0.547787	
104	-0.333951	1.47669	-1.79973	1.58729	-7.47975	0.0218561	0.0467222	0.548433	0.913798	25.3085	-104.997	0.76236	-9.22921	0.708355	-8.72681	0.642233	
105	-0.336581	1.469	-1.79971	1.61514	-7.59395	0.0236868	0.0500179	0.548758	0.903509	25.2215	-105.463	0.843587	-9.35809	0.708067	-8.65125	0.642233	
106	-0.337595	1.46121	-1.79968	1.66156	-7.70791	0.0256671	0.0524597	0.549148	0.894722	27.1522	-107.518	0.92982	-9.41227	0.71178	-8.68903	0.642233	
107	-0.334965	1.45329	-1.79966	1.68568	-7.82189	0.0257001	0.0529311	0.549722	0.889464	27.334	-110.432	0.66052	-9.334	0.736201	-8.70792	0.604454	
108	-0.332781	1.44526	-1.79963	1.71194	-7.93632	0.0263846	0.0536769	0.550269	0.883643	26.4589	-113.439	0.648056	-9.2726	0.758188	-8.84015	0.566676	
109	-0.337595	1.43712	-1.7996	1.77108	-8.03915	0.0274328	0.0583023	0.550417	0.870722	31.5504	-114.064	0.741214	-9.46647	0.742316	-8.23569	0.6989	
110	-0.340225	1.42888	-1.79958	1.79521	-8.14778	0.0288267	0.0617576	0.550659	0.859876	30.6641	-113.638	0.880072	-9.59663	0.741992	-8.63236	0.547787	
111	-0.337595	1.42051	-1.79955	1.84846	-8.27214	0.030415	0.0623501	0.551211	0.854165	33.9608	-114.956	1.17861	-9.49892	0.764079	-8.59459	0.642233	
