q1	q2	q3	qd1	qd2	qd3	qdd1	qdd2	qdd3	trq2_dyn	trq3_dyn	
-0.212714	0.859145	-1.76694	4.25809	-15.8938	2.17664	72.7156	-209.908	86.8456	-6.95433	-6.10033	
-0.19482	0.842842	-1.76472	4.31296	-16.1037	2.30019	70.9662	-211.242	92.4361	-7.38907	-5.2973	
-0.197577	0.826318	-1.76236	4.35743	-16.3231	2.43666	65.926	-211.585	99.5516	-6.71465	-6.05933	
-0.19482	0.809573	-1.75987	4.4435	-16.5409	2.58313	69.8932	-209.957	107.185	-6.32958	-6.40527	
-0.173463	0.792606	-1.75722	4.49837	-16.7611	2.73854	66.2866	-212.561	115.099	-6.87677	-5.45734	
-0.176219	0.775423	-1.75441	4.51986	-16.9714	2.90963	61.4225	-215.642	123.992	-6.29118	-6.21061	
-0.179314	0.758025	-1.75144	4.6027	-17.1843	3.07395	65.3873	-217.962	131.973	-5.6718	-6.94552	
-0.179314	0.740419	-1.74832	4.6808	-17.3895	3.23533	66.1852	-217.569	138.926	-5.22441	-7.43337	
-0.18207	0.72261	-1.74504	4.76136	-17.5891	3.3967	69.1268	-213.675	144.773	-4.66448	-8.0138	
-0.175512	0.704622	-1.7416	4.7893	-17.7657	3.56221	64.9079	-208.277	150.355	-4.60882	-8.09884	
-0.175512	0.686461	-1.73799	4.8674	-17.9375	3.73135	60.9313	-204.377	155.471	-4.24798	-8.46865	
-0.168185	0.668134	-1.73422	4.8674	-18.1016	3.90186	55.4444	-199.789	160.167	-4.26693	-8.52402	
-0.168185	0.649649	-1.73029	4.95669	-18.2554	4.07306	59.9261	-193.23	163.64	-3.95899	-8.84006	
-0.157763	0.631021	-1.72619	4.92872	-18.3951	4.24245	48.522	-185.425	165.932	-4.15222	-8.79786	
-0.164322	0.612257	-1.72192	5.00588	-18.5298	4.41399	50.7505	-176.866	167.545	-3.62033	-9.24097	
-0.151143	0.593335	-1.7175	5.11407	-18.6878	4.57676	59.4209	-171.646	166.714	-3.922	-9.1624	
-0.140722	0.574265	-1.71291	5.18783	-18.8345	4.74686	58.5137	-165.021	167.291	-4.11943	-9.15844	
-0.140722	0.555062	-1.70816	5.21482	-18.9625	4.92358	53.4019	-157.293	168.824	-3.9287	-9.39634	
-0.137965	0.535757	-1.70323	5.28121	-19.0625	5.10138	51.9846	-147.342	170.468	-3.87298	-9.53773	
-0.134102	0.516325	-1.69813	5.39686	-19.188	5.27522	60.7568	-142.231	171.301	-3.85904	-9.6485	
-0.134102	0.496741	-1.69287	5.4657	-19.3395	5.44619	59.8303	-140.194	171.484	-3.71241	-9.78151	
-0.14728	0.477015	-1.68744	5.54854	-19.4759	5.62431	68.1144	-137.427	172.245	-3.12355	-9.82404	
-0.134102	0.45718	-1.68182	5.58136	-19.5814	5.81371	62.4668	-132.592	174.065	-3.50186	-9.90648	
-0.14728	0.437246	-1.676	5.71585	-19.6771	6.02445	78.7126	-128.193	178.2	-2.97959	-9.74654	
-0.129692	0.417181	-1.66999	5.76785	-19.8065	6.22792	76.1971	-127.677	181.393	-3.50374	-9.92182	
-0.14287	0.396998	-1.66378	5.8006	-19.9225	6.43041	68.6533	-123.471	185.365	-3.02091	-9.66005	
-0.14287	0.376731	-1.65736	5.8481	-19.9997	6.64258	66.0262	-116.52	189.572	-3.00362	-9.54768	
-0.125282	0.356406	-1.65073	5.92145	-20.0531	6.86371	70.6628	-109.06	194.014	-3.56141	-9.78198	
-0.128039	0.335994	-1.64388	5.93693	-20.1432	7.08703	65.5725	-108.069	198.564	-3.46313	-9.6189	
-0.120873	0.315462	-1.63682	5.97178	-20.263	7.31581	57.4915	-107.501	204.059	-3.67817	-9.65787	
-0.110451	0.294823	-1.62953	6.01925	-20.368	7.54197	55.3546	-102.85	209.578	-4.01165	-9.77002	
-0.0901063	0.27411	-1.62203	6.08691	-20.4416	7.76286	53.837	-96.5688	213.855	-4.69903	-10.1007	
-0.08294	0.253292	-1.61434	6.12176	-20.5462	7.97019	54.0401	-96.4885	215.648	-4.9497	-10.1535	
-0.0579653	0.232332	-1.60645	6.15496	-20.6909	8.16632	43.9114	-101.388	214.187	-5.83602	-10.5929	
-0.0579653	0.211252	-1.59835	6.17632	-20.811	8.38989	40.8469	-100.45	216.197	-5.85026	-10.5204	
-0.0376207	0.190084	-1.59003	6.21169	-20.8958	8.61224	41.1088	-97.3284	218.182	-4.92046	-9.09702	
-0.0304545	0.168811	-1.58149	6.23231	-21.0038	8.8343	38.4214	-100.415	219.172	-5.56982	-9.56028	
-0.0258243	0.147389	-1.57275	6.25495	-21.1571	9.04937	33.3499	-110.404	218.566	-7.14194	-10.9946	
0.00395568	0.125839	-1.56381	6.29032	-21.2776	9.26388	35.3388	-113.442	217.685	-2.29624	-5.68941	
0.0133911	0.104229	-1.55466	6.30967	-21.3323	9.47494	33.7891	-106.936	215.913	-1.6187	-4.84611	
0.0299928	0.0825702	-1.5453	6.31305	-21.3825	9.68931	29.38	-101.448	214.734	0.0265619	-3.07878	
0.034623	0.0608275	-1.53574	6.34273	-21.4661	9.89883	25.5815	-102.454	213.597	-0.334873	-3.28405	
0.0274567	0.0390321	-1.52596	6.3587	-21.5166	10.1282	23.6938	-97.0343	215.806	-3.76706	-6.39775	
0.0156603	0.0172543	-1.51594	6.35749	-21.4954	10.3755	20.2526	-80.4428	220.917	-7.84263	-10.1559	
0.0250957	-0.00450649	-1.50571	6.37684	-21.4771	10.5913	20.0523	-66.6044	220.145	-5.81059	-7.98734	
0.0345311	-0.0263046	-1.49527	6.37684	-21.5166	10.8051	16.5154	-62.0746	219.29	-5.87363	-7.8058	
0.0439666	-0.048133	-1.48464	6.37684	-21.5464	11.0074	14.453	-54.2528	217.313	-5.75094	-7.46004	
0.0321701	-0.0699481	-1.47383	6.38851	-21.5281	11.2003	13.356	-37.104	215.089	-8.98198	-10.2279	
0.0155684	-0.0917595	-1.46282	6.40346	-21.5278	11.3926	11.3145	-25.0173	212.875	-9.29081	-10.3422	
0.0204418	-0.113615	-1.45163	6.4201	-21.5775	11.5877	11.043	-24.5178	211.279	-9.53326	-10.2892	
0.0253153	-0.135502	-1.44022	6.43738	-21.6031	11.8215	12.4332	-22.0616	213.221	-9.77347	-10.2333	
0.0135188	-0.15736	-1.42854	6.44645	-21.5709	12.0856	10.3717	-10.4743	218.674	-9.27804	-9.57913	
0.0301205	-0.179192	-1.41663	6.46861	-21.5468	12.3378	10.9906	-3.02568	220.957	-10.014	-9.92711	
0.0467222	-0.20105	-1.4045	6.49077	-21.5735	12.5572	13.3278	-7.81215	218.169	-7.93676	-7.95264	
0.0515956	-0.222919	-1.39217	6.51328	-21.5814	12.7697	13.6441	-10.4343	217.84	-6.67986	-6.7194	
0.0613779	-0.244748	-1.37965	6.53206	-21.5347	12.9749	15.5221	-1.81596	216.98	-3.42541	-3.93461	
0.0662513	-0.266539	-1.36691	6.55458	-21.4994	13.1922	17.7735	4.70029	218.479	-1.16648	-2.02285	
0.0877264	-0.288338	-1.3539	6.56213	-21.5113	13.4691	17.3627	1.67961	226.885	3.54517	1.72191	
0.11411	-0.310141	-1.34061	6.5687	-21.5112	13.7586	16.5237	1.65484	236.593	6.5279	4.03691	
0.122314	-0.331893	-1.32705	6.57146	-21.4589	14.046	15.1359	11.8583	245.827	6.49259	4.01995	
